Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
6/8/2020,Malaysia,Alpha,0,8,0
6/8/2020,Maldives,Alpha,0,1,0
6/8/2020,Mexico,Alpha,0,290,0
6/8/2020,Morocco,Alpha,0,1,0
6/8/2020,Netherlands,Alpha,0,144,0
6/8/2020,Nigeria,Alpha,0,16,0
6/8/2020,North Macedonia,Alpha,0,17,0
6/8/2020,Norway,Alpha,0,8,0
6/8/2020,Oman,Alpha,0,25,0
6/8/2020,Pakistan,Alpha,0,24,0
6/8/2020,Paraguay,Alpha,0,3,0
6/8/2020,Peru,Alpha,0,5,0
6/8/2020,Philippines,Alpha,0,1,0
6/8/2020,Poland,Alpha,0,23,0
6/8/2020,Portugal,Alpha,0,92,0
6/8/2020,Qatar,Alpha,0,179,0
6/8/2020,Romania,Alpha,0,18,0
6/8/2020,Russia,Alpha,0,154,0
6/8/2020,Rwanda,Alpha,0,1,0
6/8/2020,Senegal,Alpha,0,13,0
6/8/2020,Serbia,Alpha,0,3,0
6/8/2020,Singapore,Alpha,0,61,0
6/8/2020,Slovenia,Alpha,0,4,0
6/8/2020,South Africa,Alpha,0,105,0
6/8/2020,South Korea,Alpha,0,165,0
6/8/2020,Spain,Alpha,0,63,0
6/8/2020,Sweden,Alpha,0,83,0
6/8/2020,Switzerland,Alpha,0,27,0
6/8/2020,Togo,Alpha,0,4,0
6/8/2020,Turkey,Alpha,0,33,0
6/8/2020,Ukraine,Alpha,0,23,0
6/8/2020,United Arab Emirates,Alpha,0,18,0
6/8/2020,United Kingdom,Alpha,0,1761,0
6/8/2020,United States,Alpha,0,4035,0
6/8/2020,Uruguay,Alpha,0,11,0
6/8/2020,Zambia,Alpha,0,21,0
